"Species","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"Haddock","saturated",64.2537859349874,3128.38214869869,0,1,1,-1495.66217347353,1
"Haddock","no interaction",72.9904907665036,3225.04456192352,96.6624132248294,1.02334875255445e-21,1.02334875255445e-21,-1533.97566941475,1
"Haddock","no time of day",71.3227623733005,3226.07287133013,97.6907226314397,6.11968564585816e-22,6.11968564585816e-22,-1536.41596374738,1
"Haddock","no length",24.1462654363822,3597.60836245918,469.226213760483,1.28476086679701e-102,1.28476086679701e-102,-1774.06313087995,1
"Haddock","no lights",76.3848500520417,3608.23252494117,479.850376242477,6.33599359192578e-105,6.33599359192578e-105,-1721.62885438211,1
"Haddock","no length or time of day",24.8978739704894,3688.8225242054,560.440375506703,2.00409701338156e-122,2.00409701338156e-122,-1818.88129259416,1
"Haddock","no length or lights",27.7329980627592,3883.98461013628,755.60246143759,8.37549034976361e-165,8.37549034976361e-165,-1913.47598052561,1
"Grey gurnard","saturated",26.3849859027566,455.582016951925,0,1,0.890264120596287,-198.716104180447,0.890264120596287
"Grey gurnard","no lights",24.9846145891254,460.80441366909,5.22239671716551,0.0734464757904544,0.0653867621804853,-203.013227102417,0.955650882776772
"Grey gurnard","no time of day",25.9490024486086,461.721862890201,6.13984593827621,0.0464247308567295,0.0413302721900856,-202.312794494517,0.996981154966857
"Grey gurnard","no interaction",29.0272182702842,466.955304680992,11.3732877290675,0.00339095439578153,0.00301884503314255,-201.173382136128,1
"Grey gurnard","no length or lights",9.81708810610989,537.294839662591,81.7128227106658,1.80420548174444e-18,1.60621940658021e-18,-258.457966122057,1
"Grey gurnard","no length",11.7361754197583,539.382605682996,83.8005887310715,6.35233461569793e-19,5.65525559037767e-19,-257.427442712531,1
"Grey gurnard","no length or time of day",9.08269894407386,540.848971745395,85.2669547934703,3.05151860550775e-19,2.71665752781557e-19,-261.021491099324,1
"Whiting","saturated",37.3411671560398,1037.44185000274,0,1,0.933954717587625,-478.736573898316,0.933954717587625
"Whiting","no time of day",38.3610031560064,1042.86495635603,5.42310635329545,0.0664335435143677,0.0620459213713065,-480.278617727022,0.996000638958931
"Whiting","no interaction",39.2901161658587,1048.42555859435,10.9837085916097,0.00412019702235209,0.00384807744641622,-481.989599661648,0.999848716405347
"Whiting","no lights",35.8065095969566,1054.8979040991,17.4560540963569,0.000161981723308717,0.00015128359464715,-489.216211906021,0.999999999999994
"Whiting","no length",4.00701605624828,1102.92524176025,65.4833917575124,6.03201137303796e-15,5.63362547839101e-15,-547.420711887282,1
"Whiting","no length or lights",2.00454283035551,1122.10292813432,84.6610781315819,4.1312404009611e-19,3.85839146196621e-19,-559.036483139391,1
"Whiting","no length or time of day",2.00445770054981,1136.50019065608,99.0583406533458,3.08854998173054e-22,2.88456582594241e-22,-566.235200270646,1
"Northern squid","saturated",23.1561758370402,211.118730285758,0,1,0.999815252604187,-78.7434754881802,0.999815252604187
"Northern squid","no interaction",21.4575358110697,229.745894316853,18.6271640310949,9.01909006634096e-05,9.0174238129386e-05,-90.2972820912753,0.999905426842316
"Northern squid","no time of day",21.3158252938019,230.237415588737,19.1186853029794,7.05391522318621e-05,7.05261203071844e-05,-90.7277118559085,0.999975952962623
"Northern squid","no lights",21.0181984383096,232.39037399871,21.2716437129524,2.40392689984931e-05,2.40348278061484e-05,-92.1909420745085,0.99999998779043
"Northern squid","no length",4.00019580639312,247.565552970519,36.4468226847614,1.21807214705854e-08,1.21784711140146e-08,-119.666291230808,0.999999999968901
"Northern squid","no length or time of day",2.00033531045523,260.33955486041,49.2208245746526,2.05037711672152e-11,2.04999831488877e-11,-128.134949658656,0.999999999989401
"Northern squid","no length or lights",2.00041183229903,261.658819713244,50.5400894274862,1.06012975307225e-11,1.05993389686114e-11,-128.794503348822,1
